state,head_of_state_salary_usd,post,source1,source2,source3,head_of_government_salary_usd,post_hg,source1_hg,source2_hg,source3_hg,head_of_state_salary_divided_by_gdp_1_per_million,head_of_government_salary_divided_by_gdp_1_per_million,head_of_state_salary_divided_by_gdp_per_capita,head_of_government_salary_divided_by_gdp_per_capita,iso3
Dominica,33671, President, 52,NA,NA,21666, Prime Minister, 30,NA,NA,0.6415,35.6349,NA,2.7353,DMA
Dominican Republic,120000, President, 53, 32,NA,NA,NA,NA,NA,NA,0.6415,NA,16.2712,NA,DOM
East Timor,30000, President, 54,NA,NA,27000, Prime Minister, 54,NA,NA,0.6415,9.9411,14.2586,12.8327,TLS
Ecuador,75132, President, 55, 32,NA,NA,NA,NA,NA,NA,0.6415,NA,12.3208,NA,ECU
Egypt,70400, President, 6,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,28.1487,NA,EGY
El Salvador,62172, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,14.13,NA,SLV
Equatorial Guinea,152680, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,11.9965,NA,GNQ
Eritrea,6000, President, 56,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,ERI
Estonia,74595, President, 57, 18,NA,74595, Prime Minister, 57,NA,NA,0.6415,2.872,3.7598,3.7598,EST
Ethiopia,45270, President, 7,NA,NA,3600, Prime Minister, 56,NA,NA,0.6415,0.54990000000000006,51.8557,50.9393,ETH
Fiji,62784, President, 58,NA,NA,113495, Prime Minister, 58,NA,NA,0.6415,22.4565,10.938,19.7726,FJI
Finland,141367, President, 59,NA,NA,163906, Prime Minister, 60,NA,NA,0.6415,0.6081,3.3745,3.3466,FIN
France,194300, President, 33,NA,NA,220500, Prime Minister, 18,NA,NA,0.6415,0.0853,4.8735,5.5306,FRA
Gabon,65000, President, 6,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,8.1535,NA,GAB
Georgia,90890, President, 61,NA,NA,90890, Prime Minister, 61,NA,NA,0.6415,NA,NA,NA,GEO
Germany,268448, President, 62,NA,NA,369727, Chancellor, 18,NA,NA,0.6415,0.0814,5.4081,6.7292,DEU
Ghana,76000, President, 6,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,45.7005,NA,GHA
Greece,154739, President, 28,NA,NA,82405, Prime Minister, 18,NA,NA,0.6415,0.4106,8.3028,4.4216,GRC
Grenada,55014, Governor General, 63,NA,NA,29859, Prime Minister, 63,NA,NA,0.6415,22.3195,NA,2.3935,GRD
Guatemala,178680, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,39.9553,NA,GTM
Guinea,22390, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,29.8932,NA,GIN
Guinea-Bissau,6360, President, 64,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,GNB
Guyana,91700, President, 65,NA,NA,98300, Prime Minister, 66,NA,NA,0.6415,27.374,19.4692,20.8705,GUY
Haiti,3782, President, 67,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,4.824,NA,HTI
Honduras,49908, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,18.0434,NA,HND
Hong Kong,568400, Chief Executive, 68,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,13.8726,NA,HKG
Hungary,70964, President, 18,NA,NA,99349, Prime Minister, 18,NA,NA,0.6415,0.6524,4.5692,6.3968,HUN
Iceland,317000, President, 69,NA,NA,242619, Prime Minister, 18,NA,NA,0.6415,10.1476,2.7157,3.4496000000000002,ISL
